2026-04-04T18:52:47.959325Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959440Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959491Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959529Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959562Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959594Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:48.515340Z [info     ] Migrating the Airflow database [airflow.utils.db] loc=db.py:1130
standalone | Starting Airflow Standalone
dag-processor | 2026-04-04T18:52:49.342688Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-04T18:52:49.342738Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-04T18:52:49.342775Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-04T18:52:49.342807Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-04T18:52:49.342840Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-04T18:52:49.348015Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-04T18:52:49.348113Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-04T18:52:49.348162Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-04T18:52:49.348200Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-04T18:52:49.348233Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-04T18:52:49.348266Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-04T18:52:50.006590Z [info     ] Running the uvicorn with:
api-server | Apps: all
api-server | Workers: 1
api-server | Host: 0.0.0.0:8080
api-server | Timeout: 120
api-server | Logfiles: -
api-server | ================================================================= [airflow.cli.commands.api_server_command] loc=api_server_command.py:54
triggerer  | ____________       _____________
triggerer  | ____    |__( )_________  __/__  /________      __
triggerer  | ____  /| |_  /__  ___/_  /_ __  /_  __ \_ | /| / /
triggerer  | ___  ___ |  / _  /   _  __/ _  / / /_/ /_ |/ |/ /
triggerer  | _/_/  |_/_/  /_/    /_/    /_/  \____/____/|__/
api-server | /Users/mantukumardeka/airflow-venv/lib/python3.12/site-packages/airflow/api_fastapi/execution_api/routes/__init__.py:23 DeprecationWarning: 'HTTP_422_UNPROCESSABLE_ENTITY' is deprecated. Use 'HTTP_422_UNPROCESSABLE_CONTENT' instead.
dag-processor | 2026-04-04T18:52:50.723328Z [info     ] Starting the Dag Processor Job [airflow.jobs.dag_processor_job_runner.DagProcessorJobRunner] loc=dag_processor_job_runner.py:59
dag-processor | 2026-04-04T18:52:50.723609Z [info     ] Processing files using up to 2 processes at a time  [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:277
dag-processor | 2026-04-04T18:52:50.723648Z [info     ] Process each file at most once every 30 seconds [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:278
dag-processor | 2026-04-04T18:52:50.724153Z [info     ] DAG bundles loaded: dags-folder, example_dags [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:179
dag-processor | 2026-04-04T18:52:50.725745Z [info     ] DAG bundles loaded: dags-folder, example_dags [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:179
dag-processor | 2026-04-04T18:52:50.725838Z [info     ] Checking for new files in bundle dags-folder every 300 seconds [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:288
dag-processor | 2026-04-04T18:52:50.725867Z [info     ] Checking for new files in bundle example_dags every 300 seconds [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:288
dag-processor | 2026-04-04T18:52:50.727403Z [info     ] Refreshing bundle dags-folder  [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:588
dag-processor | 2026-04-04T18:52:50.728124Z [info     ] Searching for files in dags-folder at /Users/mantukumardeka/airflow/dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:644
dag-processor | 2026-04-04T18:52:50.731695Z [info     ] Found 6 files for bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:646
triggerer  | 2026-04-04T18:52:50.734931Z [info     ] Starting the triggerer         [airflow.jobs.triggerer_job_runner.TriggererJobRunner] loc=triggerer_job_runner.py:164
scheduler  | ____________       _____________
scheduler  | ____    |__( )_________  __/__  /________      __
scheduler  | ____  /| |_  /__  ___/_  /_ __  /_  __ \_ | /| / /
scheduler  | ___  ___ |  / _  /   _  __/ _  / / /_/ /_ |/ |/ /
scheduler  | _/_/  |_/_/  /_/    /_/    /_/  \____/____/|__/
dag-processor | 2026-04-04T18:52:50.740782Z [info     ] Refreshing bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:588
dag-processor | 2026-04-04T18:52:50.741215Z [info     ] Searching for files in example_dags at /Users/mantukumardeka/airflow-venv/lib/python3.12/site-packages/airflow/example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:644
triggerer  | /Users/mantukumardeka/airflow-venv/lib/python3.12/site-packages/airflow/sdk/execution_time/supervisor.py:477 DeprecationWarning: This process (pid=61578) is multi-threaded, use of fork() may lead to deadlocks in the child.
scheduler  | 2026-04-04T18:52:50.760633Z [info     ] Starting the scheduler         [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:1102
scheduler  | 2026-04-04T18:52:50.762790Z [info     ] Loaded executor: :LocalExecutor: [airflow.executors.executor_loader] loc=executor_loader.py:281
scheduler  | 2026-04-04T18:52:50.769006Z [info     ] Adopting or resetting orphaned tasks for active dag runs [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:2379
dag-processor | 2026-04-04T18:52:50.787159Z [info     ] Found 61 files for bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:646
dag-processor | 2026-04-04T18:52:50.791549Z [info     ] Adding 67 new files to the front of the queue [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:1000
dag-processor | /Users/mantukumardeka/airflow-venv/lib/python3.12/site-packages/airflow/api_fastapi/execution_api/routes/__init__.py:23 DeprecationWarning: 'HTTP_422_UNPROCESSABLE_ENTITY' is deprecated. Use 'HTTP_422_UNPROCESSABLE_CONTENT' instead.
api-server | /Users/mantukumardeka/airflow-venv/lib/python3.12/site-packages/airflow/api_fastapi/core_api/routes/public/__init__.py:36 DeprecationWarning: 'HTTP_422_UNPROCESSABLE_ENTITY' is deprecated. Use 'HTTP_422_UNPROCESSABLE_CONTENT' instead.
dag-processor | /Users/mantukumardeka/airflow-venv/lib/python3.12/site-packages/airflow/sdk/execution_time/supervisor.py:477 DeprecationWarning: This process (pid=61576) is multi-threaded, use of fork() may lead to deadlocks in the child.
dag-processor | 2026-04-04T18:52:50.944212Z [info     ] checking for stale bundle versions locally [airflow.dag_processing.bundles.base] loc=base.py:223
dag-processor | 2026-04-04T18:52:50.945028Z [info     ] DAG bundles loaded: dags-folder, example_dags [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:179
dag-processor | 2026-04-04T18:52:50.950143Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle        File Path                                                     PID  Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | ------------  ----------------------------------------------------------  -----  ------------------  --------  ----------  ---------------  -------------
dag-processor | dags-folder   gcp_elt_pipeline_transformation.py                                                            0           0
dag-processor | dags-folder   mantus_dag.py                                                                                 0           0
dag-processor | dags-folder   load_gcs_to_bigquery_dag.py                                                                   0           0
dag-processor | dags-folder   mantus_dag2.py                                                                                0           0
dag-processor | dags-folder   hello_world_dag.py                                                                            0           0
dag-processor | dags-folder   gcp_fake_data_final_dag.py                                                                    0           0
dag-processor | example_dags  example_xcom.py                                                                               0           0
dag-processor | example_dags  example_dynamic_task_mapping_with_no_taskflow_operators.py                                    0           0
dag-processor | example_dags  tutorial.py                                                                                   0           0
dag-processor | example_dags  example_setup_teardown_taskflow.py                                                            0           0
dag-processor | example_dags  standard/example_bash_decorator.py                                                            0           0
dag-processor | example_dags  example_branch_python_dop_operator_3.py                                                       0           0
dag-processor | example_dags  example_task_group.py                                                                         0           0
dag-processor | example_dags  example_params_ui_tutorial.py                                                                 0           0
dag-processor | example_dags  plugins/listener_plugin.py                                                                    0           0
dag-processor | example_dags  standard/example_branch_operator_decorator.py                                                 0           0
dag-processor | example_dags  standard/example_sensor_decorator.py                                                          0           0
dag-processor | example_dags  example_trigger_target_dag.py                                                                 0           0
dag-processor | example_dags  example_kubernetes_executor.py                                                                0           0
dag-processor | example_dags  example_params_trigger_ui.py                                                                  0           0
dag-processor | example_dags  plugins/workday.py                                                                            0           0
dag-processor | example_dags  standard/example_latest_only.py                                                               0           0
dag-processor | example_dags  standard/example_external_task_parent_deferrable.py                                           0           0
dag-processor | example_dags  standard/example_short_circuit_decorator.py                                                   0           0
dag-processor | example_dags  example_setup_teardown.py                                                                     0           0
dag-processor | example_dags  example_dag_decorator.py                                                                      0           0
dag-processor | example_dags  standard/example_external_task_child_deferrable.py                                            0           0
dag-processor | example_dags  tutorial_taskflow_templates.py                                                                0           0
dag-processor | example_dags  tutorial_taskflow_api_virtualenv.py                                                           0           0
dag-processor | example_dags  example_skip_dag.py                                                                           0           0
dag-processor | example_dags  example_outlet_event_extra.py                                                                 0           0
dag-processor | example_dags  standard/example_sensors.py                                                                   0           0
dag-processor | example_dags  example_passing_params_via_test_command.py                                                    0           0
dag-processor | example_dags  example_complex.py                                                                            0           0
dag-processor | example_dags  example_simplest_dag.py                                                                       0           0
dag-processor | example_dags  standard/example_hitl_operator.py                                                             0           0
dag-processor | example_dags  standard/example_branch_datetime_operator.py                                                  0           0
dag-processor | example_dags  standard/example_branch_day_of_week_operator.py                                               0           0
dag-processor | example_dags  example_asset_decorator.py                                                                    0           0
dag-processor | example_dags  example_inlet_event_extra.py                                                                  0           0
dag-processor | example_dags  example_xcomargs.py                                                                           0           0
dag-processor | example_dags  example_display_name.py                                                                       0           0
dag-processor | example_dags  standard/example_external_task_marker_dag.py                                                  0           0
dag-processor | example_dags  standard/example_bash_operator.py                                                             0           0
dag-processor | example_dags  standard/example_branch_operator.py                                                           0           0
dag-processor | example_dags  example_workday_timetable.py                                                                  0           0
dag-processor | example_dags  standard/example_python_operator.py                                                           0           0
dag-processor | example_dags  example_local_kubernetes_executor.py                                                          0           0
dag-processor | example_dags  example_asset_with_watchers.py                                                                0           0
dag-processor | example_dags  example_assets.py                                                                             0           0
dag-processor | example_dags  example_latest_only_with_trigger.py                                                           0           0
dag-processor | example_dags  tutorial_taskflow_api.py                                                                      0           0
dag-processor | example_dags  example_branch_labels.py                                                                      0           0
dag-processor | example_dags  example_nested_branch_dag.py                                                                  0           0
dag-processor | example_dags  tutorial_dag.py                                                                               0           0
dag-processor | example_dags  plugins/decreasing_priority_weight_strategy.py                                                0           0
dag-processor | example_dags  example_time_delta_sensor_async.py                                                            0           0
dag-processor | example_dags  example_asset_alias_with_no_taskflow.py                                                       0           0
dag-processor | example_dags  standard/example_python_decorator.py                                                          0           0
dag-processor | example_dags  plugins/event_listener.py                                                                     0           0
dag-processor | example_dags  standard/example_trigger_controller_dag.py                                                    0           0
dag-processor | example_dags  standard/example_short_circuit_operator.py                                                    0           0
dag-processor | example_dags  tutorial_objectstorage.py                                                                     0           0
dag-processor | example_dags  example_custom_weight.py                                                                      0           0
dag-processor | example_dags  example_asset_alias.py                                                                        0           0
dag-processor | example_dags  example_dynamic_task_mapping.py                             61599  0.02s                      0           0
dag-processor | example_dags  example_task_group_decorator.py                             61598  0.03s                      0           0
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:815
triggerer  | 2026-04-04T18:52:50.960032Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-04T18:52:50.960141Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-04T18:52:50.960193Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-04T18:52:50.960235Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-04T18:52:50.960273Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-04T18:52:50.960306Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-04T18:52:50.979620Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:50.986029Z [info     ] Setting next_dagrun for example_task_group_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:50.995825Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:50.996893Z [info     ] Setting next_dagrun for example_dynamic_task_mapping to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:50.997529Z [info     ] Setting next_dagrun for example_task_mapping_second_order to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:51.065966Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:51.076972Z [info     ] Setting next_dagrun for example_custom_weight to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:51.326913Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:51.329732Z [info     ] Setting next_dagrun for tutorial_objectstorage to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:51.383211Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:51.385904Z [info     ] Setting next_dagrun for example_short_circuit_operator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:51.452033Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:51.455537Z [info     ] Setting next_dagrun for example_trigger_controller_dag to 2021-01-01 00:00:00+00:00, run_after=2021-01-01 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
triggerer  | 2026-04-04T18:52:51.473227Z [info     ] Starting log server on http://[::]:8794 [airflow.utils.serve_logs.core] loc=core.py:50
triggerer  | WARNING:  ASGI app factory detected. Using it, but please consider setting the --factory flag explicitly.
triggerer  | INFO:     Started server process [61594]
triggerer  | INFO:     Waiting for application startup.
triggerer  | INFO:     Application startup complete.
triggerer  | INFO:     Uvicorn running on http://:8794 (Press CTRL+C to quit)
dag-processor | 2026-04-04T18:52:51.554003Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:51.556269Z [info     ] Setting next_dagrun for example_python_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
scheduler  | 2026-04-04T18:52:51.641741Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:52:51.641858Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:52:51.641912Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:52:51.641954Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:52:51.641991Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:52:51.642025Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
api-server | INFO:     Started server process [61577]
api-server | INFO:     Waiting for application startup.
api-server | INFO:     Application startup complete.
api-server | INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
scheduler  | 2026-04-04T18:52:52.066692Z [info     ] Starting log server on http://[::]:8793 [airflow.utils.serve_logs.core] loc=core.py:50
scheduler  | WARNING:  ASGI app factory detected. Using it, but please consider setting the --factory flag explicitly.
scheduler  | INFO:     Started server process [61597]
scheduler  | INFO:     Waiting for application startup.
scheduler  | INFO:     Application startup complete.
scheduler  | INFO:     Uvicorn running on http://:8793 (Press CTRL+C to quit)
dag-processor | 2026-04-04T18:52:52.572953Z [info     ] Sync 4 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:52.578462Z [info     ] Setting next_dagrun for asset_alias_example_alias_consumer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:52.579003Z [info     ] Setting next_dagrun for asset_alias_example_alias_producer to None, run_after=None [airflow.models.dag] loc=dag.py:693
api-server | /Users/mantukumardeka/airflow-venv/lib/python3.12/site-packages/jwt/api_jwt.py:365 InsecureKeyLengthWarning: The HMAC key is 24 bytes long, which is below the minimum recommended length of 64 bytes for SHA512. See RFC 7518 Section 3.2.
api-server | ____________       _____________
api-server | ____    |__( )_________  __/__  /________      __
api-server | ____  /| |_  /__  ___/_  /_ __  /_  __ \_ | /| / /
api-server | ___  ___ |  / _  /   _  __/ _  / / /_/ /_ |/ |/ /
api-server | _/_/  |_/_/  /_/    /_/    /_/  \____/____/|__/
api-server | INFO:     127.0.0.1:63095 - "GET /dags/mantus_realtime_dag/runs/manual__2026-04-04T18%3A49%3A33.918223%2B00%3A00/tasks/transform HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63095 - "GET /ui/config HTTP/1.1" 200 OK
dag-processor | 2026-04-04T18:52:53.443116Z [info     ] Setting next_dagrun for asset_s3_bucket_consumer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:53.443996Z [info     ] Setting next_dagrun for asset_s3_bucket_producer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | /Users/mantukumardeka/airflow-venv/lib/python3.12/site-packages/airflow/sdk/execution_time/supervisor.py:477 DeprecationWarning: This process (pid=61576) is multi-threaded, use of fork() may lead to deadlocks in the child.
dag-processor | 2026-04-04T18:52:53.493369Z [info     ] Sync 4 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:53.498237Z [info     ] Setting next_dagrun for asset_alias_example_alias_consumer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:53.498885Z [info     ] Setting next_dagrun for asset_alias_example_alias_producer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:53.499504Z [info     ] Setting next_dagrun for asset_s3_bucket_consumer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:52:53.499902Z [info     ] Setting next_dagrun for asset_s3_bucket_producer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
api-server | INFO:     127.0.0.1:63095 - "GET /ui/auth/menus HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63097 - "GET /api/v2/version HTTP/1.1" 200 OK
dag-processor | 2026-04-04T18:52:53.535359Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:53.537979Z [info     ] Setting next_dagrun for example_time_delta_sensor_async to None, run_after=None [airflow.models.dag] loc=dag.py:693
api-server | INFO:     127.0.0.1:63100 - "GET /api/v2/plugins HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63104 - "GET /api/v2/dags/mantus_realtime_dag/dagRuns/manual__2026-04-04T18%3A49%3A33.918223%2B00%3A00 HTTP/1.1" 200 OK
dag-processor | 2026-04-04T18:52:53.592719Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
api-server | INFO:     127.0.0.1:63095 - "GET /ui/backfills?dag_id=mantus_realtime_dag&active=true HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63102 - "GET /api/v2/dags/mantus_realtime_dag/details HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63105 - "GET /api/v2/dags/mantus_realtime_dag/tasks/transform HTTP/1.1" 200 OK
dag-processor | 2026-04-04T18:52:53.597061Z [info     ] Setting next_dagrun for tutorial_dag to None, run_after=None [airflow.models.dag] loc=dag.py:693
api-server | INFO:     127.0.0.1:63097 - "GET /ui/grid/runs/mantus_realtime_dag?limit=10&order_by=-run_after HTTP/1.1" 200 OK
dag-processor | 2026-04-04T18:52:53.628571Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:53.638774Z [info     ] Setting next_dagrun for example_nested_branch_dag to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
api-server | INFO:     127.0.0.1:63104 - "GET /api/v2/dags/mantus_realtime_dag/dagRuns/manual__2026-04-04T18%3A49%3A33.918223%2B00%3A00/taskInstances/transform/-1 HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63105 - "GET /ui/grid/ti_summaries/mantus_realtime_dag/manual__2026-04-04T18%3A49%3A33.918223%2B00%3A00 HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63095 - "GET /api/v2/dags/mantus_realtime_dag HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63102 - "GET /api/v2/dagWarnings?dag_id=mantus_realtime_dag HTTP/1.1" 200 OK
dag-processor | 2026-04-04T18:52:53.660878Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:53.667731Z [info     ] Setting next_dagrun for example_branch_labels to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
api-server | INFO:     127.0.0.1:63100 - "GET /ui/grid/structure/mantus_realtime_dag?limit=10&order_by=-run_after HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63097 - "GET /api/v2/dags/mantus_realtime_dag/dagRuns/manual__2026-04-04T18%3A49%3A33.918223%2B00%3A00/hitlDetails?task_id=transform HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63105 - "GET /ui/structure/structure_data?dag_id=mantus_realtime_dag&external_dependencies=false&version_number=3 HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63102 - "GET /ui/grid/ti_summaries/mantus_realtime_dag/manual__2026-04-04T18%3A48%3A30.021178%2B00%3A00 HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63095 - "GET /ui/grid/ti_summaries/mantus_realtime_dag/scheduled__2026-04-04T18%3A50%3A00%2B00%3A00 HTTP/1.1" 200 OK
dag-processor | 2026-04-04T18:52:53.697953Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:52:53.703372Z [info     ] Setting next_dagrun for tutorial_taskflow_api to None, run_after=None [airflow.models.dag] loc=dag.py:693
api-server | INFO:     127.0.0.1:63104 - "GET /ui/structure/structure_data?dag_id=mantus_realtime_dag HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63100 - "GET /ui/grid/ti_summaries/mantus_realtime_dag/manual__2026-04-04T18%3A46%3A27.019300%2B00%3A00 HTTP/1.1" 200 OK
